Title,GitHubCoverURL
The Long Walk,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-long-walk.jpg
The Lost Bus,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-lost-bus.jpg
The Portable Door,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-portable-door.jpg
The Strangers: Chapter 2,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-strangers-chapter-2.jpg
The Substance,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-substance.jpg
The Weekend Away,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-weekend-away.jpg
The Woman in Cabin 10,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-woman-in-cabin-10.jpg
The Wrath of Becky,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-wrath-of-becky.jpg
Till Death,https://mrchristianq.github.io/chris-delicious-library/covers/movies/till-death.jpg
Time Cut,https://mrchristianq.github.io/chris-delicious-library/covers/movies/time-cut.jpg
Totally Killer,https://mrchristianq.github.io/chris-delicious-library/covers/movies/totally-killer.jpg
Trap,https://mrchristianq.github.io/chris-delicious-library/covers/movies/trap.jpg
Turning Red,https://mrchristianq.github.io/chris-delicious-library/covers/movies/turning-red.jpg
Twisters,https://mrchristianq.github.io/chris-delicious-library/covers/movies/twisters.jpg
Vanished into the Night,https://mrchristianq.github.io/chris-delicious-library/covers/movies/vanished-into-the-night.jpg
Weapons,https://mrchristianq.github.io/chris-delicious-library/covers/movies/weapons.jpg
West Side Story,https://mrchristianq.github.io/chris-delicious-library/covers/movies/west-side-story.jpg
Wicked,https://mrchristianq.github.io/chris-delicious-library/covers/movies/wicked.jpg
Wolfs,https://mrchristianq.github.io/chris-delicious-library/covers/movies/wolfs.jpg
Woman of the Hour,https://mrchristianq.github.io/chris-delicious-library/covers/movies/woman-of-the-hour.jpg
You Are So Not Invited to My Bat Mitzvah,https://mrchristianq.github.io/chris-delicious-library/covers/movies/you-are-so-not-invited-to-my-bat-mitzvah.jpg
The Wrecking Crew,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-wrecking-crew.jpg
