Title,GitHubCoverURL
Avenue 5,https://mrchristianq.github.io/chris-delicious-library/covers/tv/avenue-5.jpg
Deadwater Fell,https://mrchristianq.github.io/chris-delicious-library/covers/tv/deadwater-fell.jpg
The Witcher,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-witcher.jpg
Servant,https://mrchristianq.github.io/chris-delicious-library/covers/tv/servant.jpg
The Mandalorian,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-mandalorian.jpg
His Dark Materials,https://mrchristianq.github.io/chris-delicious-library/covers/tv/his-dark-materials.jpg
Are You Afraid of the Dark? (2019),https://mrchristianq.github.io/chris-delicious-library/covers/tv/are-you-afraid-of-the-dark-2019.jpg
Evil,https://mrchristianq.github.io/chris-delicious-library/covers/tv/evil.jpg
Creepshow,https://mrchristianq.github.io/chris-delicious-library/covers/tv/creepshow.jpg
The Capture,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-capture.jpg
Carnival Row,https://mrchristianq.github.io/chris-delicious-library/covers/tv/carnival-row.jpg
Two Sentence Horror Stories,https://mrchristianq.github.io/chris-delicious-library/covers/tv/two-sentence-horror-stories.jpg
Wu Assassins,https://mrchristianq.github.io/chris-delicious-library/covers/tv/wu-assassins.jpg
BH90210,https://mrchristianq.github.io/chris-delicious-library/covers/tv/bh90210.jpg
The Boys,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-boys.jpg
Good Omens,https://mrchristianq.github.io/chris-delicious-library/covers/tv/good-omens.jpg
Catch-22,https://mrchristianq.github.io/chris-delicious-library/covers/tv/catch-22.jpg
Back to Life,https://mrchristianq.github.io/chris-delicious-library/covers/tv/back-to-life.jpg
Hanna,https://mrchristianq.github.io/chris-delicious-library/covers/tv/hanna.jpg
What We Do in the Shadows,https://mrchristianq.github.io/chris-delicious-library/covers/tv/what-we-do-in-the-shadows.jpg
The Disappearance of Madeleine McCann,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-disappearance-of-madeleine-mccann.jpg
The Widow,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-widow.jpg
The Umbrella Academy,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-umbrella-academy.jpg
Miracle Workers,https://mrchristianq.github.io/chris-delicious-library/covers/tv/miracle-workers.jpg
Russian Doll,https://mrchristianq.github.io/chris-delicious-library/covers/tv/russian-doll.jpg
Deadly Class,https://mrchristianq.github.io/chris-delicious-library/covers/tv/deadly-class.jpg
